project_number,file_name,line_of_business,state,received_at_est,delivered_at_est,sla_met,is_urgent,qa_delivery_by,comment,status_hours,status_label,internal,dtp_1,new,fuzzy,total,dtp_2,pm,it_eng,qa,record_id,assigned_analyst_id,template_type,language_code,received_at_utc,delivered_at_utc,egnyte_direct_link,egnyte_file_path,egnyte_file_size_kb,created_by,updated_by,created_at,updated_at
MOHE-260813-5704,SWHNY Approval Notice Preservice_Member_onhold_analyst2_ko,NY Molina SWH – WORD,NY,2026-08-11 13:20:00,,,NO,,Molina delay to notify language needed,,,,,,,,0,0,0,0,e1b2c3d4-5f67-4890-ab12-cd34ef56a704,5,Word,KO,2026-08-11T17:20:00Z,,,,,2,5,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
MOHE-260813-5705,MHNY Essential Master Approval_Member_inreview_manager_ht,NY Molina SWH – PDF,NY,2026-08-13 7:45:00,,,NO,,,,,,,,,,0,0,0,0,e1b2c3d4-5f67-4890-ab12-cd34ef56a705,2,PDF,HT,2026-08-13T11:45:00Z,,,,,3,2,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
MOHE-260108-158,Medicare Std Care Plan_0a82bf2c-6c0c-4a16-8d97-150944a627ec_3G67HD2HP46 _th,Medicare CM,CA,2026-01-07 19:30:00,2026-01-09 09:51:00,Y,,,,38.35,38.35 Consecutive Business Hours,,0.75,432,30,2039,0.26,0.17,0.32,0,e935e529-f57a-4951-97c8-3da2045fefb1,1,PDF,TH,2026-01-08T00:30:00Z,2026-01-09T14:51:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260126-591,Medicare Std Care Plan_cb9490bb-56bc-4cd9-b700-ebe6cd212935_4U48J05VG50 _th,Medicare CM,CA,2026-01-23 19:30:00,2026-01-27 09:53:00,Y,,,,38.37,38.37 Consecutive Business Hours,,0.75,262,63,1880,0.26,0.17,0.32,0,5fe9dded-8b8e-4869-92ea-edaba52163df,1,PDF,TH,2026-01-24T00:30:00Z,2026-01-27T14:53:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260127-635,Medicare Std Care Plan_0a516c98-0b3e-4eb6-92df-4c7f4f96a17d_7D08QD4YH55 _th,Medicare CM,OH,2026-01-27 14:31:00,2026-01-28 12:18:00,Y,,,,21.8,21.80 Consecutive Business Hours,,0.75,13,58,1464,0.26,0.17,0.32,0,961d2e6f-167b-4f88-896a-851470ce01bc,1,PDF,TH,2026-01-27T19:31:00Z,2026-01-28T17:18:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260129-703,Medicare Std UTC Asst Batch_f952d173-ec67-4893-8206-16c4cde9dfbe_8TC5MN8GY79 _th,Medicare CM,WA,2026-01-29 14:03:00,2026-01-30 10:15:00,Y,,,,20.19,20.19 Consecutive Business Hours,,0.25,,,423,0.09,0.06,0.11,0,27a30d8d-1bda-4476-a9ba-b13f738fedf8,1,PDF,TH,2026-01-29T19:03:00Z,2026-01-30T15:15:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260203-806,Medicare Std UTC_52c8dfbd-44b7-4596-b878-c16088547e56_6Q44DG7FD05 _th,Medicare CM,CA,2026-02-02 15:03:00,2026-02-04 09:48:00,Y,,,,42.75,42.75 Consecutive Business Hours,,0.75,12,37,1721,0.26,0.17,0.32,0,6a0f7db2-d19a-441c-bd28-00f00b9f1c18,1,PDF,TH,2026-02-02T20:03:00Z,2026-02-04T14:48:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260205-877,Medicare Std UTC Asst Batch_fd6c4d2c-5c09-4b6b-97e0-024183855269_3Y84UP7CH63 _th,Medicare CM,CA,2026-02-05 13:31:00,2026-02-05 18:20:00,Y,,,,4.81,4.81 Consecutive Business Hours,,0.25,0,0,424,0.09,0.06,0.11,0,bbe13519-77b1-41e6-81f9-9def442d3e67,5,PDF,TH,2026-02-05T18:31:00Z,2026-02-05T23:20:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260209-946,Medicare Std UTC Asst Batch_0c91832c-7178-4680-9d58-18b200788ae7_6QV5VM6QK73 _th,Medicare CM,CA,2026-02-08 19:31:00,2026-02-10 09:21:00,Y,,,,25.36,25.36 Consecutive Business Hours,,1.5,204,0,3752,0.53,0.35,0.63,0,66506c85-03d7-49ea-b257-282d1f45cc99,5,PDF,TH,2026-02-09T00:31:00Z,2026-02-10T14:21:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260209-946,Medicare Std UTC Asst Batch_5886ebbd-9040-4ae3-84ea-aae49258fb53_9PC1QQ0RE03 _th,Medicare CM,CA,2026-02-08 22:33:00,2026-02-10 09:21:00,Y,,,,25.36,25.36 Consecutive Business Hours,,,,,,0,0,0,0,3af2f4b6-89fa-4b91-af96-f51318281368,5,PDF,TH,2026-02-09T03:33:00Z,2026-02-10T14:21:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260209-946,Medicare Std UTC Asst Batch_e8cf0b98-c23b-44d9-a681-9cb80d43c268_3CC8F24UM59 _th,Medicare CM,CA,2026-02-08 23:01:00,2026-02-10 09:21:00,Y,,,,25.36,25.36 Consecutive Business Hours,,,,,,0,0,0,0,abadb0ad-2100-4c53-a445-93aacb33293d,5,PDF,TH,2026-02-09T04:01:00Z,2026-02-10T14:21:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260209-946,Medicare Std Care Plan LP_4cdafc21-749c-49ed-a659-c723ef3a4660_7C23N26FK79 _th,Medicare CM,WA,2026-02-06 18:03:00,2026-02-10 09:21:00,Y,,,,39.3,39.30 Consecutive Business Hours,,,,,,0,0,0,0,198a61d3-ec0c-4ce1-bebf-96c7ec916043,5,PDF,TH,2026-02-06T23:03:00Z,2026-02-10T14:21:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260210-1002,Medicare Std UTC Asst Batch_62337f74-0a5f-40ca-a39b-bb77cc36ad28_4GX7H06GX35 _th,Medicare CM,CA,2026-02-09 21:31:00,2026-02-11 14:35:00,Y,,,,30.58,30.58 Consecutive Business Hours,,,,,,0,0,0,0,ea100dda-c3b9-41b1-861f-7d225d1bac02,5,PDF,TH,2026-02-10T02:31:00Z,2026-02-11T19:35:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260316-2003,Medicare Std UTC Asst Batch LP_634556ef-0334-484f-ad03-dcc6bda3618f_6J85M71XG62 _th,Medicare CM,WA,2026-03-14 14:30:00,2026-03-16 18:23:00,Y,,,,10.39,10.39 Consecutive Business Hours,,0.25,0,0,423,0.09,0.06,0.11,0,f21c70e4-2b5a-4f65-817c-e23ff1aa9623,5,PDF,TH,2026-03-14T18:30:00Z,2026-03-16T22:23:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260319-2126,Medicare Std Care Plan_6053eca3-51c2-4896-83bd-d55540fc1a87_3MQ1XE4UC11 _th,Medicare CM,CA,2026-03-18 18:02:00,2026-03-20 09:18:00,Y,,,,39.26,39.26 Consecutive Business Hours,,0.75,389,28,2152,0.26,0.17,0.32,0,a89ea620-ca50-492c-b32c-f961c9bcb39a,5,PDF,TH,2026-03-18T22:02:00Z,2026-03-20T13:18:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260325-2333,Medicare Std UTC Asst Batch LP_1f96c159-5325-4ad9-9a2d-fcc39dfa54f0_6J85M71XG62 _th,Medicare CM,WA,2026-03-24 14:31:00,2026-03-25 20:43:00,Y,,,,30.21,30.21 Consecutive Business Hours,,0.25,0,0,423,0.09,0.06,0.11,0,a2c15cef-ea47-430e-8bf6-c88dacce5da6,1,PDF,TH,2026-03-24T18:31:00Z,2026-03-26T00:43:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260327-2397,Medicare Std UTC_36385834-41aa-4613-ae63-1a2366778462_6J85M71XG62 _th,Medicare CM,WA,2026-03-26 17:31:00,2026-03-30 17:26:00,Y,,,,47.92,47.92 Consecutive Business Hours,,0.75,90,53,1733,0.26,0.17,0.32,0,624652e2-004c-49fa-a9be-3362f166b6cc,1,PDF,TH,2026-03-26T21:31:00Z,2026-03-30T21:26:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260330-2464,Medicare Std UTC_5e94414a-bb4c-4c19-a62f-275a1b18307e_3CC8F24UM59 _th,Medicare CM,CA,2026-03-27 21:02:00,2026-03-31 10:03:00,Y,,,,26.06,26.06 Consecutive Business Hours,,0.75,273,183,2214,0.26,0.17,0.32,0,e227a3a9-0809-4b0d-82ab-b0f305727b6d,5,PDF,TH,2026-03-28T01:02:00Z,2026-03-31T14:03:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260414-2992,Medicare Std UTC Asst Batch_2d85cb0b-748b-409a-9f1d-c6285ac33f66_8TC5MN8GY79 _th,Medicare CM,WA,2026-04-13 14:30:00,2026-04-14 14:49:00,Y,,,,24.31,24.31 Consecutive Business Hours,,0.25,0,0,423,0.09,0.06,0.11,0,b9cb4bef-1346-4649-b91c-d888835d2d66,5,PDF,TH,2026-04-13T18:30:00Z,2026-04-14T18:49:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260415-3038,Medicare Std UTC_89835da0-934d-4d7e-b0bf-f653fab15fd8_9PC1QQ0RE03 _th,Medicare CM,CA,2026-04-14 15:30:00,2026-04-16 12:12:00,Y,,,,44.7,44.70 Consecutive Business Hours,,0.75,421,122,2559,0.26,0.17,0.32,0,392582f8-cc70-402f-9b2b-88b584ffffa0,1,PDF,TH,2026-04-14T19:30:00Z,2026-04-16T16:12:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260415-3077,Medicare Std UTC Asst Batch_af0671ac-cb60-42a6-8b7d-b05a931940b7_8Q25J89WX99 _th,Medicare CM,WA,2026-04-15 14:30:00,2026-04-16 17:27:00,Y,,,,26.94,26.94 Consecutive Business Hours,,0.25,,,422,0.09,0.06,0.11,0,61368cff-0613-425f-8991-0535756a7587,1,PDF,TH,2026-04-15T18:30:00Z,2026-04-16T21:27:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260417-3140,Medicare Std Care Plan_b0b8aaa0-9077-4d0d-b54c-fcfc4ca8b7b5_6QV5VM6QK73 _th,Medicare CM,CA,2026-04-16 17:30:00,2026-04-17 16:26:00,Y,,,,22.93,22.93 Consecutive Business Hours,,0.75,2,62,1971,0.26,0.17,0.32,0,6ebd5beb-4949-40b7-a741-f596d60732b1,1,PDF,TH,2026-04-16T21:30:00Z,2026-04-17T20:26:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260420-3203,Medicare Std UTC Asst Batch_b9481f10-a304-400c-83c5-fbfe3baed9af_3CC8F24UM59 _th,Medicare CM,CA,2026-04-17 15:01:00,2026-04-20 21:10:00,Y,,,,30.15,30.15 Consecutive Business Hours,,0.75,0,0,1271,0.26,0.17,0.32,0,d3daa7a1-4e2f-433a-a8fd-a52eba087d75,1,PDF,TH,2026-04-17T19:01:00Z,2026-04-21T01:10:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260420-3203,Medicare Std UTC Asst Batch_607c4e01-5532-4b13-92ad-b7f9296a1914_9PC1QQ0RE03 _th,Medicare CM,CA,2026-04-19 09:30:00,2026-04-20 21:10:00,Y,,,,13.18,13.18 Consecutive Business Hours,,,,,,0,0,0,0,23af5800-dd27-442d-8e2b-c6e729b88844,,PDF,TH,2026-04-19T13:30:00Z,2026-04-21T01:10:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260420-3203,Medicare Std UTC Asst Batch_e7d07800-4530-44e1-9e49-83f84fdb4abb_8Q25J89WX99 _th,Medicare CM,WA,2026-04-19 09:31:00,2026-04-20 21:10:00,Y,,,,13.18,13.18 Consecutive Business Hours,,,,,,0,0,0,0,6b526b8a-8b47-4f93-bec8-ffe694b011ef,,PDF,TH,2026-04-19T13:31:00Z,2026-04-21T01:10:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260501-3626,Medicare Std Adv Dir Batch LP_6c45be68-4ab3-494c-83d6-dbefc6282e7b_6J85M71XG62 _th,Medicare CM,WA,2026-04-30 13:01:00,2026-05-01 18:26:00,Y,,,,29.42,29.42 Consecutive Business Hours,,0.25,,,260,0.09,0.06,0.11,0,651f7d58-f384-45aa-90c6-0666096f70eb,,PDF,TH,2026-04-30T17:01:00Z,2026-05-01T22:26:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260504-3692,Medicare Std Care Plan_7ad3b1d2-0b08-4591-b294-018af3d9e3e7_6J85M71XG62 _th,Medicare CM,WA,2026-05-02 13:01:00,2026-05-04 15:55:00,Y,,,,7.92,7.92 Consecutive Business Hours,,0.75,22,,1838,0.26,0.17,0.32,0,99666034-02ff-4ad3-a11c-a1e44924d659,,PDF,TH,2026-05-02T17:01:00Z,2026-05-04T19:55:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260507-3844,Medicare Std UTC_78b6e5b5-eb26-45e7-94d0-2f02776b226e_3Y84UP7CH63 _th,Medicare CM,CA,2026-05-06 17:30:00,2026-05-08 19:46:00,Y,,,,50.27,50.27 Consecutive Business Hours,,0.75,,,1591,0.26,0.17,0.32,0,ead70ebc-4e9d-49c1-8a6e-a17efd135317,,PDF,TH,2026-05-06T21:30:00Z,2026-05-08T23:46:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260508-3884,Medicare Std UTC_ecedb1cd-342e-44b3-8669-a5dff4e2ddbb_8TC5MN8GY79 _th,Medicare CM,WA,2026-05-07 20:30:00,2026-05-11 17:08:00,Y,,,,44.63,44.63 Consecutive Business Hours,,0.75,123,57,1773,0.26,0.17,0.32,0,af1a4782-bc2e-4d0f-b1df-e958d12c49da,,PDF,TH,2026-05-08T00:30:00Z,2026-05-11T21:08:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260511-3922,Medicare Std UTC_a2fc30ae-a127-4b5a-a9b8-f464836c79db_4GX7H06GX35 _th,Medicare CM,CA,2026-05-08 20:04:00,2026-05-12 09:18:00,Y,,,,37.23,37.23 Consecutive Business Hours,,0.75,99,0,1795,0.26,0.17,0.32,0,c877a716-b538-4f74-a355-eefcd6e7000b,,PDF,TH,2026-05-09T00:04:00Z,2026-05-12T13:18:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260512-3972,Medicare Std Care Plan_a13c913e-6eca-43ff-8cd5-c0ee89628198_6J85M71XG62 _th,Medicare CM,WA,2026-05-11 18:01:00,2026-05-13 12:59:00,Y,,,,42.96,42.96 Consecutive Business Hours,,0.75,132,31,1838,0.26,0.17,0.32,0,e5cb4cd8-9aa3-4606-a335-a42438c96058,,PDF,TH,2026-05-11T22:01:00Z,2026-05-13T16:59:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260513-4026,Medicare Std UTC_8de043b7-de4b-41e9-ab6f-806ac9ddfc08_2E21RW7NJ08 _th,Medicare CM,CA,2026-05-12 20:30:00,2026-05-14 14:20:00,Y,,,,41.84,41.84 Consecutive Business Hours,,0.75,0,99,1749,0.26,0.17,0.32,0,abafe159-afe2-4039-a8ae-efad049da91d,,PDF,TH,2026-05-13T00:30:00Z,2026-05-14T18:20:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260514-4063,Medicare Std Care Plan_290eb88a-7acc-4b50-8468-07d3abc71c13_7AP5J72KP61 _th,Medicare CM,CA,2026-05-13 17:30:00,2026-05-15 10:02:00,Y,,,,40.53,40.53 Consecutive Business Hours,,0.75,163,20,1888,0.26,0.17,0.32,0,776da49d-e995-4a21-b1b1-bf09a3fe90aa,,PDF,TH,2026-05-13T21:30:00Z,2026-05-15T14:02:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260518-4192,Medicare Std Care Plan_7f64466e-8115-4aaa-a2a5-24481a84ad60_8TC5MN8GY79 _th,Medicare CM,WA,2026-05-18 14:30:00,2026-05-19 17:56:00,Y,,,,27.44,27.44 Consecutive Business Hours,,0.25,676,132,2541,0.09,0.06,0.11,0,4bd4f1c0-1f5e-4748-aa4f-ba28dfd60d00,,PDF,TH,2026-05-18T18:30:00Z,2026-05-19T21:56:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260528-4557,Medicare Std UTC Asst_84b71212-77ee-4b1a-a952-3fcc143fb457_9YM5WK8PA70 _th,Medicare CM,CA,2026-05-27 20:30:00,2026-05-29 16:25:00,Y,,,,43.92,43.92 Consecutive Business Hours,,0.25,,,564,0.09,0.06,0.11,0,8651c9d2-7bdd-4729-bbd4-508bc37480f9,,PDF,TH,2026-05-28T00:30:00Z,2026-05-29T20:25:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260601-4626,Medicare Std UTC_d1c7ccb4-dfb1-4894-8ee0-19586742090d_9YM5WK8PA70 _th,Medicare CM,CA,2026-05-29 20:30:00,2026-06-02 09:46:00,Y,,,,37.26,37.26 Consecutive Business Hours,,0.75,40,27,1767,0.26,0.17,0.32,0,b41e605d-0384-49cd-b1b8-c2f322085ac0,,PDF,TH,2026-05-30T00:30:00Z,2026-06-02T13:46:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260603-4718,Medicare Std UTC_020e344c-2b21-4215-8757-15fcd917ef24_4D43PF6GU80 _th,Medicare CM,CA,2026-06-02 20:30:00,2026-06-03 14:55:00,Y,,,,18.41,18.41 Consecutive Business Hours,,0.75,105,10,1721,0.26,0.17,0.32,0,328c8408-6277-48d7-8f08-c26d678afb91,,PDF,TH,2026-06-03T00:30:00Z,2026-06-03T18:55:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260604-4781,Medicare Std Care Plan_220c16a4-5d5e-4231-a512-bf5cc6c68886_8R50TN9YF90 _th,Medicare CM,CA,2026-06-03 21:01:00,2026-06-05 14:35:00,Y,,,,30.59,30.59 Consecutive Business Hours,,0.75,408,34,2315,0.26,0.17,0.32,0,9d50eeaa-b8f4-4e4c-b287-20c3039aa895,,PDF,TH,2026-06-04T01:01:00Z,2026-06-05T18:35:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260616-5122,Medicare Std UTC Asst_f4db220f-2f66-44a7-bed3-9afd92346777_7Q49PG0JW39 _th,Medicare CM,CA,2026-06-15 20:30:00,2026-06-16 17:12:00,Y,,,,20.71,20.71 Consecutive Business Hours,,0.35,0,0,564,0.12,0.08,0.15,0,ed48b259-f1d7-45ce-8232-32f8391d1c8c,,PDF,TH,2026-06-16T00:30:00Z,2026-06-16T21:12:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260618-5211,Medicare Std UTC_844762f6-cc39-4d65-a119-183fddc28756_7Q49PG0JW39 _th,Medicare CM,CA,2026-06-17 17:30:00,2026-06-18 16:04:00,Y,,,,22.57,22.57 Consecutive Business Hours,,1,15,,1640,0.35,0.23,0.42,0,b078ff15-1745-46be-b930-a206dbbd02e7,,PDF,TH,2026-06-17T21:30:00Z,2026-06-18T20:04:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260623-5349,Medicare Std UTC Asst LP_f2a1ecf0-57cf-4c0e-b403-af19ae2a9f75_1TK6A89FP88 _th,Medicare CM,CA,2026-06-22 15:01:00,2026-06-23 15:36:00,Y,,,,24.58,24.58 Consecutive Business Hours,,0.35,,,570,0.12,0.08,0.15,0,975e255c-c235-460e-b1c8-08eed08c2134,,PDF,TH,2026-06-22T19:01:00Z,2026-06-23T19:36:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260625-5445,Medicare Std UTC LP_6295b934-9eba-487b-80aa-3a28baf4cf76_1TK6A89FP88 _th,Medicare CM,CA,2026-06-24 18:00:00,2026-06-26 11:46:00,Y,,,,41.75,41.75 Consecutive Business Hours,,2,188,57,5104,0.7,0.46,0.84,0,21351232-848d-4098-8000-c43b85ec3b14,,PDF,TH,2026-06-24T22:00:00Z,2026-06-26T15:46:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260625-5445,Medicare Std Care Plan_6cb12960-1c55-464f-af13-39c852c6c09a_8R50TN9YF90 _th,Medicare CM,CA,2026-06-24 20:30:00,2026-06-26 11:46:00,Y,,,,39.26,39.26 Consecutive Business Hours,,,,,,0,0,0,0,722dedb0-4d7d-4ff0-9865-af6a401498fc,,PDF,TH,2026-06-25T00:30:00Z,2026-06-26T15:46:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260626-5484,Medicare Std Care Plan_7bf9c110-88d3-4170-a56d-6c1a5807c8f0_4H50EA9NX32 _th,Medicare CM,CA,2026-06-25 20:30:00,2026-06-29 11:03:00,Y,,,,38.55,38.55 Consecutive Business Hours,,1,458,79,2479,0.35,0.23,0.42,0,ab136be6-dc2d-4539-b250-d748487c46f8,,PDF,TH,2026-06-26T00:30:00Z,2026-06-29T15:03:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
